sample_name,label,prob_sn,prob_pg,sn_pg_agreement,sn_pg_diff,max_prob,min_prob,url_length,domain_length,n_dots_domain,n_subdomains,domain_entropy,has_ip_address,has_https,path_length,n_url_params,domain_digit_ratio,html_length,n_forms,n_password_inputs,n_external_links_ratio
+10fastfingers.com+2023_08_14+0,0,0.183949,0.494965,1,0.31101528966116243,0.49496476547486523,0.1839494758137028,25,17,1,0,3.8521687236032816,0,1,0,0,0.11764705882352941,2362116,6,0,0.6730023273855702
+10footwave.com+2023_08_14+0,0,0.179293,0.005557,1,0.17373686432417793,0.1792934167894511,0.00555655246527318,22,14,1,0,3.4677201004745006,0,1,0,0,0.14285714285714285,285033,1,0,3.2459016393442623
+11st.co.kr+2023_08_14+0,0,0.194588,0.002296,1,0.19229158591791837,0.19458794707649418,0.002296361158575824,18,10,2,1,2.9219280948873623,0,1,0,0,0.2,188377,1,0,1.1967213114754098
+11xplay.com+2023_08_14+0,0,0.200375,0.979982,0,0.7796069018163081,0.9799816632238217,0.20037476140751365,19,11,1,0,3.2776134368191165,0,1,0,0,0.18181818181818182,54843,1,1,3.76
+123telugu.com+2023_08_14+0,0,0.188422,0.002889,1,0.18553319822733552,0.18842238302884362,0.0028891848015080903,21,13,1,0,3.546593564294939,0,1,0,0,0.23076923076923078,176246,0,0,1.423913043478261
+126.com+2023_08_14+0,0,0.291071,0.856275,0,0.5652040949205738,0.8562753528257718,0.29107125790519806,15,7,1,0,2.807354922057604,0,1,0,0,0.42857142857142855,49240,2,0,4.7272727272727275
+16honeys.com+2023_08_14+0,0,0.196832,0.000488,1,0.1963435223813958,0.19683197350862436,0.0004884511272285695,20,12,1,0,3.418295834054489,0,1,0,0,0.16666666666666666,115365,1,0,0.8875
+178.248.234.15+2023_08_14+0,0,0.191873,0.429789,1,0.23791600989423156,0.42978900678910736,0.1918729968948758,15,7,1,0,2.2359263506290326,0,1,0,0,0.0,134071,0,0,3.4
+18read.net+2023_08_14+0,0,0.182345,0.004451,1,0.17789420085792915,0.18234545518993506,0.004451254332005916,18,10,1,0,3.121928094887362,0,1,0,0,0.2,48979,0,3,0.45098039215686275
+18xxx.org+2023_08_14+0,0,0.178307,0.006995,1,0.17131282321428332,0.1783074768270828,0.0069946536127995,17,9,1,0,2.6416041678685933,0,1,0,0,0.2222222222222222,178424,1,0,1.5751633986928104
+1c.eu+2023_08_14+0,0,0.362339,0.047476,1,0.3148624267441209,0.36233887490245076,0.047476448158329826,13,5,1,0,2.321928094887362,0,1,0,0,0.2,4344,0,0,0.875
+1filmy4wep.lol+2023_08_14+0,0,0.182,0.724308,0,0.5423076866674846,0.7243075540977432,0.18199986743025853,23,15,1,0,3.773557262275185,0,1,0,0,0.13333333333333333,41987,1,0,1.4513274336283186
+1password.com+2023_08_14+0,0,0.179191,0.001987,1,0.17720418057727402,0.17919095342543967,0.001986772848165651,20,12,1,0,3.418295834054489,0,1,0,0,0.08333333333333333,314760,0,0,2.3893805309734515
+1password.com+2023_08_14+1,0,0.19639,0.000516,1,0.195874427187747,0.19639005632883233,0.0005156291410853275,21,13,1,0,3.3927474104487847,0,1,0,0,0.07692307692307693,206901,0,0,1.3553719008264462
+20bet.com+2023_08_14+0,0,0.567063,0.434004,0,0.13305874317766925,0.5670625715249071,0.4340038283472379,17,9,1,0,3.169925001442312,0,1,0,0,0.2222222222222222,6312,0,0,4.0
+212xnxx.com+2023_08_14+0,0,0.179347,0.002115,1,0.17723200797164773,0.17934713132395652,0.002115123352308794,19,11,1,0,2.845350936622437,0,1,0,0,0.2727272727272727,210065,1,0,0.32047477744807124
+24.hu+2023_08_14+1,0,0.178868,0.001522,1,0.1773458458862146,0.17886763620339785,0.0015217903171832572,13,5,1,0,2.321928094887362,0,1,0,0,0.4,411017,1,0,2.7884615384615383
+24smi.info+2023_08_14+0,0,0.215605,0.014808,1,0.20079693576742635,0.2156048802616488,0.014807944494222453,18,10,1,0,3.121928094887362,0,1,0,0,0.2,156480,0,0,3.0
+24timezones.com+2023_08_14+0,0,0.191187,0.013582,1,0.17760509322069973,0.1911866174926674,0.013581524271967679,23,15,1,0,3.5068905956085183,0,1,0,0,0.13333333333333333,1294823,0,0,0.8365384615384616
+24tv.ua+2023_08_14+0,0,0.24191,0.000582,1,0.24132777148657789,0.24190980971485976,0.0005820382282818635,15,7,1,0,2.807354922057604,0,1,0,0,0.2857142857142857,587521,1,0,3.0594059405940595
+2k.com+2023_08_14+0,0,0.179304,0.465762,1,0.2864578237267288,0.46576175628534777,0.17930393255861898,20,12,1,0,3.2516291673878226,0,1,0,0,0.08333333333333333,178176,1,0,1.1785714285714286
+2trk.info+2023_08_14+0,0,0.207632,0.800324,0,0.5926918332009097,0.8003237615739041,0.20763192837299438,17,9,1,0,3.169925001442312,0,1,0,0,0.1111111111111111,80815,1,0,0.043478260869565216
