selector,seed,oracle_acc,oracle_prec_phish,oracle_rec_phish,oracle_prec_benign,oracle_rec_benign,pp_f1w,dp_macro,oracle_n_eval
drift_anchored,2025,0.8288,0.9893,0.5711,0.7811,0.9960,0.8005,0.5333,1230
drift_anchored,2026,0.8152,0.9863,0.5603,0.7598,0.9944,0.7783,0.5288,1233
drift_anchored,2027,0.8056,0.9864,0.5492,0.7468,0.9943,0.7850,0.5422,1234
drift_anchored,2028,0.8096,0.9826,0.5476,0.7537,0.9930,0.7864,0.5695,1233
drift_anchored,2029,0.8016,0.9925,0.5176,0.7467,0.9972,0.8036,0.5638,1237
margin,2025,0.7120,0.9892,0.5111,0.5873,0.9921,0.7771,0.6901,1225
margin,2026,0.7024,0.9919,0.4993,0.5714,0.9939,0.7638,0.7136,1232
margin,2027,0.6992,0.9894,0.5020,0.5657,0.9918,0.7767,0.7025,1229
margin,2028,0.7088,0.9844,0.5149,0.5770,0.9878,0.7793,0.7010,1229
margin,2029,0.7000,0.9913,0.4782,0.5845,0.9943,0.8026,0.7218,1236
qbc,2025,0.6984,0.9839,0.4993,0.5698,0.9878,0.7789,0.7114,1225
qbc,2026,0.7000,0.9944,0.4904,0.5729,0.9960,0.7582,0.7165,1231
qbc,2027,0.7032,0.9867,0.5054,0.5728,0.9899,0.7741,0.7097,1229
qbc,2028,0.7080,0.9894,0.5096,0.5776,0.9919,0.7831,0.7137,1227
qbc,2029,0.6888,0.9972,0.4798,0.5582,0.9980,0.8005,0.7172,1234
core_set,2025,0.7304,0.9828,0.5127,0.6279,0.9892,0.7761,0.6773,1225
core_set,2026,0.7344,0.9882,0.5060,0.6342,0.9930,0.7654,0.6977,1233
core_set,2027,0.7344,0.9942,0.5090,0.6315,0.9965,0.7755,0.6789,1232
core_set,2028,0.7192,0.9851,0.4896,0.6152,0.9910,0.7731,0.6873,1229
core_set,2029,0.7200,0.9880,0.4889,0.6175,0.9929,0.8013,0.6955,1236
badge,2025,0.7192,0.9810,0.5135,0.6019,0.9866,0.7690,0.6993,1227
badge,2026,0.7248,0.9891,0.5178,0.6072,0.9924,0.7582,0.7146,1231
badge,2027,0.7192,0.9915,0.5022,0.6059,0.9944,0.7720,0.7031,1230
badge,2028,0.7160,0.9858,0.5007,0.6030,0.9906,0.7779,0.7030,1227
badge,2029,0.7248,0.9881,0.4948,0.6233,0.9929,0.8025,0.7219,1236
hybrid,2025,0.7144,0.9870,0.5199,0.5848,0.9900,0.7785,0.7077,1227
hybrid,2026,0.7088,0.9892,0.5034,0.5829,0.9921,0.7592,0.7207,1232
hybrid,2027,0.7072,0.9896,0.5122,0.5738,0.9918,0.7749,0.7071,1230
hybrid,2028,0.7208,0.9846,0.5283,0.5929,0.9881,0.7807,0.7167,1229
hybrid,2029,0.6968,0.9890,0.4918,0.5713,0.9920,0.8013,0.7181,1235
random,2025,0.8688,0.9621,0.4585,0.8631,0.9947,0.7446,0.6389,1228
random,2026,0.8672,0.9796,0.4691,0.8506,0.9968,0.7560,0.6535,1238
random,2027,0.8728,0.9716,0.4724,0.8605,0.9958,0.7660,0.6256,1238
random,2028,0.8808,0.9737,0.5068,0.8670,0.9958,0.7651,0.6314,1235
random,2029,0.8624,0.9778,0.4430,0.8498,0.9968,0.7781,0.6197,1240
pure_random_stream,2025,0.8384,0.9587,0.5264,0.8131,0.9891,0.7736,0.6307,1224
pure_random_stream,2026,0.8360,0.9623,0.5165,0.8096,0.9902,0.7746,0.5767,1215
pure_random_stream,2027,0.8392,0.9737,0.4907,0.8134,0.9941,0.7537,0.5964,1219
pure_random_stream,2028,0.8392,0.9474,0.4945,0.8212,0.9883,0.7612,0.5875,1219
pure_random_stream,2029,0.8280,0.9563,0.4654,0.8062,0.9905,0.7684,0.5970,1220
