run_id,strategy,oracle,cumulative_llm_calls,cumulative_labels,pp_f1w
badge_llm_periodic_temporal,badge,llm,50,50,0.6104658413533244
badge_llm_periodic_temporal,badge,llm,100,100,0.6148084113231078
badge_llm_periodic_temporal,badge,llm,150,150,0.6174425725529665
badge_llm_periodic_temporal,badge,llm,200,200,0.6342632289987242
badge_llm_periodic_temporal,badge,llm,250,250,0.6507263918180708
badge_llm_periodic_temporal,badge,llm,300,300,0.6479214343050653
badge_llm_periodic_temporal,badge,llm,350,350,0.653519992110172
badge_llm_periodic_temporal,badge,llm,400,400,0.6549125742011366
badge_llm_periodic_temporal,badge,llm,450,450,0.653519992110172
badge_llm_periodic_temporal,badge,llm,500,500,0.6821991665245881
badge_llm_periodic_temporal,badge,llm,550,550,0.6839378680171366
badge_llm_periodic_temporal,badge,llm,600,600,0.6971432751152883
badge_llm_periodic_temporal,badge,llm,650,650,0.71140314400109
badge_llm_periodic_temporal,badge,llm,700,700,0.7174794386278467
badge_llm_periodic_temporal,badge,llm,750,749,0.7078022920632888
badge_llm_periodic_temporal,badge,llm,800,799,0.7155497032070212
badge_llm_periodic_temporal,badge,llm,850,848,0.7197128027493656
badge_llm_periodic_temporal,badge,llm,900,897,0.7273267687755315
badge_llm_periodic_temporal,badge,llm,950,946,0.7373652659174452
badge_llm_periodic_temporal,badge,llm,1000,996,0.7448124484250034
badge_llm_periodic_temporal,badge,llm,1050,1046,0.7463046413752481
badge_llm_periodic_temporal,badge,llm,1100,1096,0.7463046413752481
badge_llm_periodic_temporal,badge,llm,1150,1146,0.7524373845753569
badge_llm_periodic_temporal,badge,llm,1200,1196,0.7524373845753569
badge_llm_periodic_temporal,badge,llm,1250,1246,0.7609487305861562
badge_llm_periodic_temporal_B,badge,llm,50,50,0.6104658413533244
badge_llm_periodic_temporal_B,badge,llm,100,100,0.6171288425801975
badge_llm_periodic_temporal_B,badge,llm,150,150,0.6354829201869059
badge_llm_periodic_temporal_B,badge,llm,200,200,0.6507972232383049
badge_llm_periodic_temporal_B,badge,llm,250,248,0.6595412985758833
badge_llm_periodic_temporal_B,badge,llm,300,298,0.6781724329430854
badge_llm_periodic_temporal_B,badge,llm,350,348,0.6932065129253024
badge_llm_periodic_temporal_B,badge,llm,400,398,0.709165959070866
badge_llm_periodic_temporal_B,badge,llm,450,448,0.707879389498322
badge_llm_periodic_temporal_B,badge,llm,500,498,0.729464855541914
badge_llm_periodic_temporal_B,badge,llm,550,548,0.7369443294453119
badge_llm_periodic_temporal_B,badge,llm,600,598,0.7492595903869769
badge_llm_periodic_temporal_B,badge,llm,650,648,0.7495035557428357
badge_llm_periodic_temporal_B,badge,llm,700,698,0.7381842003321463
badge_llm_periodic_temporal_B,badge,llm,750,748,0.7354272857806643
badge_llm_periodic_temporal_B,badge,llm,800,798,0.7304301395283697
badge_llm_periodic_temporal_B,badge,llm,850,848,0.7319657588635222
badge_llm_periodic_temporal_B,badge,llm,900,898,0.7381842003321463
badge_llm_periodic_temporal_B,badge,llm,950,948,0.7495035557428357
badge_llm_periodic_temporal_B,badge,llm,1000,998,0.7582248964261714
badge_llm_periodic_temporal_B,badge,llm,1050,1048,0.7664147852617884
badge_llm_periodic_temporal_B,badge,llm,1100,1098,0.7699964555384669
badge_llm_periodic_temporal_B,badge,llm,1150,1148,0.7699964555384669
badge_llm_periodic_temporal_B,badge,llm,1200,1198,0.76900799597283
badge_llm_periodic_temporal_B,badge,llm,1250,1248,0.76900799597283
core_set_llm_periodic_temporal,core_set,llm,50,50,0.6119164675262668
core_set_llm_periodic_temporal,core_set,llm,100,99,0.6162497642959234
core_set_llm_periodic_temporal,core_set,llm,150,149,0.6304980646756319
core_set_llm_periodic_temporal,core_set,llm,200,198,0.6504082472625549
core_set_llm_periodic_temporal,core_set,llm,250,248,0.6752839283986858
core_set_llm_periodic_temporal,core_set,llm,300,298,0.6892486099979787
core_set_llm_periodic_temporal,core_set,llm,350,348,0.6915086201070842
core_set_llm_periodic_temporal,core_set,llm,400,397,0.7020052391163907
core_set_llm_periodic_temporal,core_set,llm,450,447,0.7029516285004126
core_set_llm_periodic_temporal,core_set,llm,500,497,0.72256868524995
core_set_llm_periodic_temporal,core_set,llm,550,547,0.7379142556777697
core_set_llm_periodic_temporal,core_set,llm,600,597,0.7468111589962033
core_set_llm_periodic_temporal,core_set,llm,650,646,0.7455842418385237
core_set_llm_periodic_temporal,core_set,llm,700,696,0.7403936163630986
core_set_llm_periodic_temporal,core_set,llm,750,746,0.7311061235497196
core_set_llm_periodic_temporal,core_set,llm,800,795,0.7351489390475503
core_set_llm_periodic_temporal,core_set,llm,850,843,0.7338998579100793
core_set_llm_periodic_temporal,core_set,llm,900,892,0.7376412833891943
core_set_llm_periodic_temporal,core_set,llm,950,942,0.7477869756754196
core_set_llm_periodic_temporal,core_set,llm,1000,992,0.7538982302034876
core_set_llm_periodic_temporal,core_set,llm,1050,1042,0.7601905973024495
core_set_llm_periodic_temporal,core_set,llm,1100,1092,0.7551151753996783
core_set_llm_periodic_temporal,core_set,llm,1150,1142,0.7575438491114479
core_set_llm_periodic_temporal,core_set,llm,1200,1192,0.7563303780201239
core_set_llm_periodic_temporal,core_set,llm,1250,1242,0.7597380224226565
core_set_llm_periodic_temporal_B,core_set,llm,50,50,0.6119164675262668
core_set_llm_periodic_temporal_B,core_set,llm,100,99,0.6219847911695247
core_set_llm_periodic_temporal_B,core_set,llm,150,148,0.638808494330523
core_set_llm_periodic_temporal_B,core_set,llm,200,198,0.6517832041984475
core_set_llm_periodic_temporal_B,core_set,llm,250,248,0.6820724177004555
core_set_llm_periodic_temporal_B,core_set,llm,300,298,0.6935802606609507
core_set_llm_periodic_temporal_B,core_set,llm,350,348,0.6978673684960882
core_set_llm_periodic_temporal_B,core_set,llm,400,398,0.709497975648586
core_set_llm_periodic_temporal_B,core_set,llm,450,447,0.705640917387198
core_set_llm_periodic_temporal_B,core_set,llm,500,497,0.7282114575491793
core_set_llm_periodic_temporal_B,core_set,llm,550,547,0.7406582980772867
core_set_llm_periodic_temporal_B,core_set,llm,600,597,0.7521762069379416
core_set_llm_periodic_temporal_B,core_set,llm,650,647,0.7497447125612082
core_set_llm_periodic_temporal_B,core_set,llm,700,697,0.7406582980772867
core_set_llm_periodic_temporal_B,core_set,llm,750,747,0.7344588851430881
core_set_llm_periodic_temporal_B,core_set,llm,800,797,0.7433815080016278
core_set_llm_periodic_temporal_B,core_set,llm,850,845,0.7455842418385237
core_set_llm_periodic_temporal_B,core_set,llm,900,895,0.7480362714122522
core_set_llm_periodic_temporal_B,core_set,llm,950,945,0.7628185856841028
