epsilon,correction_seed,n_accepted,n_errors_total,n_errors_flipped,n_train_total,kp_n,kp_phish_frac,kp_accuracy,kp_f1_weighted,kp_f1_macro,kp_f1_phish,kp_precision_phish,kp_recall_phish,kp_auc_roc,kp_pr_auc,pp_n,pp_phish_frac,pp_accuracy,pp_f1_weighted,pp_f1_macro,pp_f1_phish,pp_precision_phish,pp_recall_phish,pp_auc_roc,pp_pr_auc,dp_n,dp_phish_frac,dp_accuracy,dp_f1_weighted,dp_f1_macro,dp_f1_phish,dp_precision_phish,dp_recall_phish,dp_auc_roc,dp_pr_auc
0.0,2025,1230,211,0,8451,1806,0.44739756367663347,0.9789590254706534,0.9789539610177269,0.978713399503722,0.9764267990074442,0.9788557213930348,0.974009900990099,0.9974168634298299,0.9962878926246643,956,0.4884937238493724,0.803347280334728,0.7971578325129434,0.7962849616662813,0.7583547557840618,0.9485530546623794,0.6316916488222698,0.9300806172628666,0.92694843339379,6426,0.1503267973856209,0.5619358854652973,0.6174917102319367,0.5253973256870168,0.39371096273960804,0.24857220560239326,0.9461697722567288,0.8788326924972887,0.6719757491040634
0.0,2026,1230,211,0,8451,1806,0.44739756367663347,0.9789590254706534,0.9789539610177269,0.978713399503722,0.9764267990074442,0.9788557213930348,0.974009900990099,0.9974168634298299,0.9962878926246643,956,0.4884937238493724,0.803347280334728,0.7971578325129434,0.7962849616662813,0.7583547557840618,0.9485530546623794,0.6316916488222698,0.9300806172628666,0.92694843339379,6426,0.1503267973856209,0.5619358854652973,0.6174917102319367,0.5253973256870168,0.39371096273960804,0.24857220560239326,0.9461697722567288,0.8788326924972887,0.6719757491040634
0.0,2027,1230,211,0,8451,1806,0.44739756367663347,0.9789590254706534,0.9789539610177269,0.978713399503722,0.9764267990074442,0.9788557213930348,0.974009900990099,0.9974168634298299,0.9962878926246643,956,0.4884937238493724,0.803347280334728,0.7971578325129434,0.7962849616662813,0.7583547557840618,0.9485530546623794,0.6316916488222698,0.9300806172628666,0.92694843339379,6426,0.1503267973856209,0.5619358854652973,0.6174917102319367,0.5253973256870168,0.39371096273960804,0.24857220560239326,0.9461697722567288,0.8788326924972887,0.6719757491040634
0.25,2025,1230,211,53,8451,1806,0.44739756367663347,0.9789590254706534,0.9789539610177269,0.978713399503722,0.9764267990074442,0.9788557213930348,0.974009900990099,0.9974763884204052,0.9962010884819148,956,0.4884937238493724,0.8211297071129707,0.8167451803956753,0.816041095813336,0.7854454203262233,0.9484848484848485,0.6702355460385439,0.9272386507446477,0.9265741562831009,6426,0.1503267973856209,0.5339246809835045,0.5892141524838534,0.5039754269529553,0.38209201567980194,0.23859829940736924,0.9585921325051759,0.8882810426288688,0.6750808523688521
0.25,2026,1230,211,53,8451,1806,0.44739756367663347,0.9789590254706534,0.9789539610177269,0.978713399503722,0.9764267990074442,0.9788557213930348,0.974009900990099,0.9974267842615925,0.9962489958180949,956,0.4884937238493724,0.8232217573221757,0.8191266472799318,0.8184492606564027,0.7890137328339576,0.9461077844311377,0.6766595289079229,0.931048374736713,0.9294391280527579,6426,0.1503267973856209,0.5547774665421724,0.6103110560768915,0.5201166392467406,0.3911470525643754,0.24618269488347175,0.9513457556935818,0.8768540638105856,0.6466764046730895
0.25,2027,1230,211,53,8451,1806,0.44739756367663347,0.9795127353266888,0.9795090564487359,0.9792760608450537,0.977061376317421,0.9788819875776398,0.9752475247524752,0.9973709795829283,0.9962926799440879,956,0.4884937238493724,0.8253138075313807,0.8213821632851663,0.8207218871522144,0.7920298879202988,0.9464285714285714,0.6809421841541756,0.9319329313417672,0.9288541747317882,6426,0.1503267973856209,0.5521319638966697,0.6077007197553774,0.5180002927334549,0.3897370653095844,0.24506666666666665,0.9513457556935818,0.8786595909266717,0.6556627231583642
0.5,2025,1230,211,106,8451,1806,0.44739756367663347,0.9795127353266888,0.9795090564487359,0.9792760608450537,0.977061376317421,0.9788819875776398,0.9752475247524752,0.9973709795829282,0.9959779941852627,956,0.4884937238493724,0.8399581589958159,0.8377461159311814,0.8372642847685877,0.8163265306122449,0.9289617486338798,0.728051391862955,0.9261526604572545,0.9270074204900451,6426,0.1503267973856209,0.5085589791472145,0.5626789335068527,0.48407031201615647,0.3716673298846001,0.23004926108374385,0.9668737060041408,0.8868209602681654,0.6481844382340243
0.5,2026,1230,211,106,8451,1806,0.44739756367663347,0.9789590254706534,0.9789565199495748,0.97871849544712,0.976456009913259,0.9776674937965261,0.9752475247524752,0.9973300561519078,0.99597244278722,956,0.4884937238493724,0.8462343096234309,0.8439504496388557,0.8434719265944686,0.8226779252110977,0.9419889502762431,0.7301927194860813,0.9323971046097661,0.9319489390825064,6426,0.1503267973856209,0.5122938064114535,0.5668842479261558,0.4866587920180223,0.3719438877755511,0.23061630218687873,0.9606625258799172,0.8800303733533548,0.6288743223661509
0.5,2027,1230,211,106,8451,1806,0.44739756367663347,0.9795127353266888,0.9795090564487359,0.9792760608450537,0.977061376317421,0.9788819875776398,0.9752475247524752,0.9972581301216294,0.9958901908387116,956,0.4884937238493724,0.8368200836820083,0.8344390516536015,0.8339353718014386,0.8120481927710843,0.928374655647383,0.721627408993576,0.9315388219632779,0.9303920642974928,6426,0.1503267973856209,0.49906629318394025,0.5530648111626498,0.47575696159389513,0.3652139617432459,0.22557856272838003,0.9585921325051759,0.8772817934308617,0.6334405249279434
0.75,2025,1230,211,158,8451,1806,0.44739756367663347,0.9789590254706534,0.9789565199495748,0.97871849544712,0.976456009913259,0.9776674937965261,0.9752475247524752,0.9974491061330581,0.9960664907934607,956,0.4884937238493724,0.856694560669456,0.8555963054578857,0.8552653244352206,0.8408826945412311,0.9187817258883249,0.7751605995717344,0.9290384169064165,0.9312574918984523,6426,0.1503267973856209,0.4377528789293495,0.4840419619739009,0.4255920773989602,0.3420142050628301,0.20751381215469614,0.9720496894409938,0.8740036705875216,0.5938383583917389
