provider,bucket,bucket_lo,bucket_hi,n,accuracy,mean_trust
DeepSeek-V4-Flash,Q1,0.0,0.635,123,0.5853658536585366,0.5035997014901247
DeepSeek-V4-Flash,Q2,0.635,0.8542500000000001,118,0.9491525423728814,0.7759742886516942
DeepSeek-V4-Flash,Q3,0.8542500000000001,0.8646666666666667,147,0.9523809523809523,0.86046661512868
DeepSeek-V4-Flash,Q4,0.8646666666666667,1.001,91,0.6923076923076923,0.9173222364037866
GPT-5.4,Q1,0.0,0.6111868131868132,121,0.5537190082644629,0.4869450400873622
GPT-5.4,Q2,0.6111868131868132,0.8511666666666667,120,0.9416666666666667,0.7474522460396358
GPT-5.4,Q3,0.8511666666666667,0.8633461538461539,120,0.975,0.8587512973478049
GPT-5.4,Q4,0.8633461538461539,1.001,121,0.7851239669421488,0.9079408427417663
GPT-5.4-mini,Q1,0.0,0.6353333333333333,121,0.5867768595041323,0.5105387380296472
GPT-5.4-mini,Q2,0.6353333333333333,0.8498,120,0.95,0.7493542063492062
GPT-5.4-mini,Q3,0.8498,0.8694,121,0.9586776859504132,0.8629762101534829
GPT-5.4-mini,Q4,0.8694,1.001,119,0.7983193277310925,0.9335220888355342
GPT-5.1,Q1,0.0,0.578375,121,0.4380165289256198,0.4656165879574971
GPT-5.1,Q2,0.578375,0.8492777777777778,121,0.9256198347107438,0.7464938243574606
GPT-5.1,Q3,0.8492777777777778,0.873,124,0.9596774193548387,0.8603228046594983
GPT-5.1,Q4,0.873,1.001,118,0.7711864406779662,0.9344120625137572
Llama-3.3-70B,Q1,0.0,0.8075000000000001,81,0.654320987654321,0.5138501395723617
Llama-3.3-70B,Q2,0.8075000000000001,0.8566666666666667,85,0.9764705882352941,0.8420753932342169
Llama-3.3-70B,Q3,0.8566666666666667,0.95,119,0.9159663865546218,0.9259880315762669
Llama-3.3-70B,Q4,0.95,1.001,38,0.8947368421052632,0.9619887218045114
Mistral-Large-3,Q1,0.0,0.6649999999999999,128,0.765625,0.5422414605793512
Mistral-Large-3,Q2,0.6649999999999999,0.8546428571428571,117,0.9401709401709402,0.8016419354624484
Mistral-Large-3,Q3,0.8546428571428571,0.8661818181818182,126,0.9682539682539683,0.8606489780061211
Mistral-Large-3,Q4,0.8661818181818182,1.001,119,0.7647058823529411,0.9293631571509722
