variant,fraction,round,parse_ok_rate,class_skew,yield_rate,n_critical_signals,round_verdict,halted,halt_round
SMART,0.5,1,1.0,1.0,1.0,1,warn,False,
SMART,0.5,2,1.0,1.0,1.0,1,warn,False,
SMART,0.5,3,1.0,1.0,1.0,1,warn,False,
SMART,0.5,4,1.0,0.98,1.0,0,healthy,False,
SMART,0.5,5,1.0,1.0,1.0,1,warn,False,
SMART,0.5,6,1.0,1.0,1.0,1,warn,False,
SMART,0.5,7,1.0,0.98,1.0,0,healthy,False,
SMART,0.5,8,1.0,0.96,1.0,0,healthy,False,
SMART,0.5,9,1.0,1.0,1.0,1,warn,False,
SMART,0.5,10,1.0,0.94,1.0,0,healthy,False,
SMART,0.5,11,1.0,0.96,1.0,0,healthy,False,
SMART,0.5,12,1.0,0.92,1.0,0,healthy,False,
SMART,0.5,13,1.0,0.98,1.0,0,healthy,False,
SMART,0.5,14,1.0,0.96,1.0,0,healthy,False,
SMART,0.5,15,1.0,0.9796,1.0,0,healthy,False,
SMART,0.5,16,1.0,0.92,1.0,0,healthy,False,
SMART,0.5,17,1.0,0.9184,1.0,0,healthy,False,
SMART,0.5,18,1.0,0.92,1.0,0,healthy,False,
SMART,0.5,19,1.0,0.74,1.0,0,healthy,False,
SMART,0.5,20,1.0,0.78,1.0,0,healthy,False,
SMART,0.5,21,1.0,0.8,1.0,0,healthy,False,
SMART,0.5,22,1.0,0.84,1.0,0,healthy,False,
SMART,0.5,23,1.0,0.72,1.0,0,healthy,False,
SMART,0.5,24,1.0,0.64,1.0,0,healthy,False,
SMART,0.5,25,1.0,0.8,1.0,0,healthy,False,
SMART,1.0,1,1.0,1.0,1.0,1,warn,False,
SMART,1.0,2,1.0,1.0,1.0,1,warn,False,
SMART,1.0,3,1.0,1.0,1.0,1,warn,False,
SMART,1.0,4,1.0,1.0,1.0,1,warn,False,
SMART,1.0,5,1.0,1.0,1.0,1,warn,False,
SMART,1.0,6,1.0,1.0,1.0,1,warn,False,
SMART,1.0,7,1.0,1.0,1.0,1,warn,False,
SMART,1.0,8,1.0,1.0,1.0,1,warn,False,
SMART,1.0,9,1.0,1.0,1.0,1,warn,False,
SMART,1.0,10,1.0,1.0,1.0,1,warn,False,
SMART,1.0,11,1.0,1.0,1.0,1,warn,False,
SMART,1.0,12,1.0,1.0,1.0,1,warn,False,
SMART,1.0,13,1.0,1.0,1.0,1,warn,False,
SMART,1.0,14,1.0,1.0,1.0,1,warn,False,
SMART,1.0,15,1.0,1.0,1.0,1,warn,False,
SMART,1.0,16,1.0,1.0,1.0,1,warn,False,
SMART,1.0,17,1.0,1.0,1.0,1,warn,False,
SMART,1.0,18,1.0,1.0,1.0,1,warn,False,
SMART,1.0,19,1.0,1.0,1.0,1,warn,False,
SMART,1.0,20,1.0,1.0,1.0,1,warn,False,
SMART,1.0,21,1.0,1.0,1.0,1,warn,False,
SMART,1.0,22,1.0,1.0,1.0,1,warn,False,
SMART,1.0,23,1.0,1.0,1.0,1,warn,False,
SMART,1.0,24,1.0,1.0,1.0,1,warn,False,
SMART,1.0,25,1.0,1.0,1.0,1,warn,False,
