variant,fraction,round,parse_ok_rate,class_skew,yield_rate,n_critical_signals,round_verdict,halted,halt_round
smart,1.0,1,1.0,0.54,1.0,0,healthy,False,
smart,1.0,2,1.0,0.76,1.0,0,healthy,False,
smart,1.0,3,0.98,0.6735,0.98,0,healthy,False,
smart,1.0,4,1.0,0.82,1.0,0,healthy,False,
smart,1.0,5,1.0,0.92,1.0,0,healthy,False,
smart,1.0,6,1.0,0.84,1.0,0,healthy,False,
smart,1.0,7,1.0,0.82,1.0,0,healthy,False,
smart,1.0,8,0.98,0.7551,0.98,0,healthy,False,
smart,1.0,9,1.0,0.74,1.0,0,healthy,False,
smart,1.0,10,0.98,0.5306,0.98,0,healthy,False,
smart,1.0,11,0.98,0.7959,0.98,0,healthy,False,
smart,1.0,12,0.96,0.7917,0.96,0,healthy,False,
smart,1.0,13,0.96,0.6458,0.96,0,healthy,False,
smart,1.0,14,0.98,0.5714,0.98,0,healthy,False,
smart,1.0,15,0.98,0.551,0.98,0,healthy,False,
