mode,sid,round,label_llm,gt,correct,weight
off,4924,1,0,0,1,1.0
off,2843,1,0,0,1,1.0
off,4011,1,0,0,1,1.0
off,3044,1,0,0,1,1.0
off,3082,1,0,0,1,1.0
off,4389,1,0,0,1,1.0
off,3126,1,0,0,1,1.0
off,4712,1,0,0,1,1.0
off,4107,1,0,0,1,1.0
off,2957,1,0,0,1,1.0
off,2733,1,0,0,1,1.0
off,4592,1,0,0,1,1.0
off,3815,1,0,0,1,1.0
off,2974,1,0,0,1,1.0
off,3372,1,0,0,1,1.0
off,4904,1,0,0,1,1.0
off,4547,1,0,0,1,1.0
off,4873,1,0,0,1,1.0
off,2595,1,0,0,1,1.0
off,3395,1,0,0,1,1.0
off,3281,1,0,0,1,1.0
off,4381,1,0,0,1,1.0
off,575,1,1,1,1,1.0
off,4160,1,0,0,1,1.0
off,2815,1,0,0,1,1.0
off,4446,1,0,0,1,1.0
off,4967,1,0,0,1,1.0
off,2710,1,0,0,1,1.0
off,4031,1,0,0,1,1.0
off,4337,1,0,0,1,1.0
off,3706,1,0,0,1,1.0
off,3208,1,0,0,1,1.0
off,3336,1,0,0,1,1.0
off,4318,1,0,0,1,1.0
off,4141,1,0,0,1,1.0
off,4306,1,0,0,1,1.0
off,2585,1,0,0,1,1.0
off,2792,1,0,0,1,1.0
off,3024,1,0,0,1,1.0
off,3113,1,0,0,1,1.0
off,3939,1,0,0,1,1.0
off,3080,1,0,0,1,1.0
off,3828,1,0,0,1,1.0
off,3540,1,0,0,1,1.0
off,3577,1,0,0,1,1.0
off,2886,1,0,0,1,1.0
off,3154,1,0,0,1,1.0
off,3821,1,0,0,1,1.0
off,2694,1,0,0,1,1.0
off,4884,1,0,0,1,1.0
off,2646,2,0,0,1,1.0
off,4676,2,0,0,1,1.0
off,2796,2,0,0,1,1.0
off,3401,2,0,0,1,1.0
off,3151,2,0,0,1,1.0
off,4229,2,0,0,1,1.0
off,4883,2,0,0,1,1.0
off,4989,2,0,0,1,1.0
off,3429,2,0,0,1,1.0
off,568,2,0,1,0,1.0
off,1520,2,0,1,0,1.0
off,1430,2,0,1,0,1.0
off,2932,2,0,0,1,1.0
off,2665,2,0,0,1,1.0
off,4807,2,0,0,1,1.0
off,4083,2,0,0,1,1.0
off,4219,2,0,0,1,1.0
off,2742,2,0,0,1,1.0
off,3093,2,0,0,1,1.0
off,3480,2,0,0,1,1.0
off,4942,2,0,0,1,1.0
off,1254,2,0,1,0,1.0
off,1038,2,1,1,1,1.0
off,1694,2,1,1,1,1.0
off,4589,2,0,0,1,1.0
off,2872,2,0,0,1,1.0
off,3509,2,0,0,1,1.0
off,2780,2,0,0,1,1.0
off,3686,2,0,0,1,1.0
off,4416,2,0,0,1,1.0
off,2627,2,0,0,1,1.0
off,4133,2,0,0,1,1.0
off,2758,2,0,0,1,1.0
off,2557,2,0,0,1,1.0
off,4881,2,0,0,1,1.0
off,3750,2,0,0,1,1.0
off,4697,2,0,0,1,1.0
off,3537,2,0,0,1,1.0
off,2955,2,0,0,1,1.0
off,4928,2,0,0,1,1.0
off,3220,2,0,0,1,1.0
off,3814,2,0,0,1,1.0
off,4122,2,0,0,1,1.0
off,4716,2,0,0,1,1.0
off,4251,2,0,0,1,1.0
off,3364,2,0,0,1,1.0
off,3525,2,0,0,1,1.0
off,4065,2,0,0,1,1.0
off,3773,2,0,0,1,1.0
off,4920,2,0,0,1,1.0
off,4759,3,0,0,1,1.0
off,4502,3,0,0,1,1.0
off,3245,3,0,0,1,1.0
off,2660,3,0,0,1,1.0
off,4587,3,0,0,1,1.0
off,4506,3,0,0,1,1.0
off,2933,3,0,0,1,1.0
off,2666,3,0,0,1,1.0
off,4508,3,0,0,1,1.0
off,3854,3,0,0,1,1.0
off,4097,3,0,0,1,1.0
off,3197,3,0,0,1,1.0
off,2635,3,0,0,1,1.0
off,2816,3,0,0,1,1.0
off,3651,3,0,0,1,1.0
off,3982,3,0,0,1,1.0
off,2604,3,0,0,1,1.0
off,4764,3,0,0,1,1.0
off,2883,3,0,0,1,1.0
off,4528,3,0,0,1,1.0
off,2896,3,0,0,1,1.0
off,3481,3,0,0,1,1.0
off,2547,3,0,0,1,1.0
off,4564,3,0,0,1,1.0
off,4457,3,0,0,1,1.0
off,4865,3,0,0,1,1.0
off,4527,3,0,0,1,1.0
off,4290,3,0,0,1,1.0
off,3466,3,0,0,1,1.0
off,2991,3,0,0,1,1.0
off,3873,3,0,0,1,1.0
off,3761,3,0,0,1,1.0
off,2760,3,0,0,1,1.0
off,4315,3,0,0,1,1.0
off,2586,3,0,0,1,1.0
off,4677,3,0,0,1,1.0
off,3053,3,0,0,1,1.0
off,3796,3,0,0,1,1.0
off,4814,3,0,0,1,1.0
off,3247,3,0,0,1,1.0
off,4955,3,0,0,1,1.0
off,4084,3,0,0,1,1.0
off,4171,3,0,0,1,1.0
off,3254,3,0,0,1,1.0
off,477,3,0,1,0,1.0
off,4327,3,0,0,1,1.0
off,3143,3,0,0,1,1.0
off,3954,3,0,0,1,1.0
off,2881,3,0,0,1,1.0
off,4768,4,0,0,1,1.0
off,4282,4,0,0,1,1.0
off,4499,4,0,0,1,1.0
off,2431,4,1,1,1,1.0
off,2976,4,0,0,1,1.0
off,4406,4,0,0,1,1.0
off,4383,4,0,0,1,1.0
off,4778,4,0,0,1,1.0
off,3733,4,0,0,1,1.0
off,4174,4,0,0,1,1.0
off,2740,4,0,0,1,1.0
off,4897,4,0,0,1,1.0
off,2762,4,0,0,1,1.0
off,3928,4,0,0,1,1.0
off,4783,4,0,0,1,1.0
off,3783,4,0,0,1,1.0
off,3966,4,0,0,1,1.0
off,2711,4,0,0,1,1.0
off,2912,4,0,0,1,1.0
off,4852,4,0,0,1,1.0
off,4366,4,0,0,1,1.0
off,2875,4,0,0,1,1.0
off,3646,4,0,0,1,1.0
off,2785,4,0,0,1,1.0
off,3590,4,0,0,1,1.0
off,3116,4,0,0,1,1.0
off,4256,4,0,0,1,1.0
off,4644,4,0,0,1,1.0
off,4037,4,0,0,1,1.0
off,3369,4,0,0,1,1.0
off,4863,4,0,0,1,1.0
off,3875,4,0,0,1,1.0
off,3207,4,0,0,1,1.0
off,2774,4,1,0,0,1.0
off,3729,4,0,0,1,1.0
off,3068,4,0,0,1,1.0
off,4803,4,0,0,1,1.0
off,563,4,0,1,0,1.0
off,3137,4,0,0,1,1.0
off,2509,4,0,0,1,1.0
off,4754,4,0,0,1,1.0
off,3849,4,0,0,1,1.0
off,1359,4,0,1,0,1.0
off,3765,4,0,0,1,1.0
off,2695,4,0,0,1,1.0
off,3004,4,0,0,1,1.0
off,2631,4,0,0,1,1.0
off,2847,4,0,0,1,1.0
off,2697,4,0,0,1,1.0
off,4959,4,0,0,1,1.0
off,3437,5,0,0,1,1.0
off,2667,5,0,0,1,1.0
off,4082,5,0,0,1,1.0
off,3251,5,0,0,1,1.0
off,3037,5,0,0,1,1.0
off,4237,5,0,0,1,1.0
off,3132,5,0,0,1,1.0
off,3641,5,0,0,1,1.0
off,3283,5,0,0,1,1.0
off,3025,5,0,0,1,1.0
off,4177,5,0,0,1,1.0
off,2609,5,0,0,1,1.0
off,2960,5,0,0,1,1.0
off,4866,5,0,0,1,1.0
off,3366,5,0,0,1,1.0
off,2807,5,0,0,1,1.0
off,4222,5,0,0,1,1.0
off,4919,5,0,0,1,1.0
off,3845,5,0,0,1,1.0
off,3827,5,0,0,1,1.0
off,3192,5,0,0,1,1.0
off,4077,5,0,0,1,1.0
off,3210,5,0,0,1,1.0
off,3103,5,0,0,1,1.0
off,4079,5,0,0,1,1.0
off,2947,5,0,0,1,1.0
off,3838,5,0,0,1,1.0
off,4201,5,0,0,1,1.0
off,3275,5,0,0,1,1.0
off,3699,5,0,0,1,1.0
off,3360,5,0,0,1,1.0
off,4889,5,0,0,1,1.0
off,4649,5,0,0,1,1.0
off,3448,5,0,0,1,1.0
off,4862,5,0,0,1,1.0
off,2565,5,0,0,1,1.0
off,4447,5,0,0,1,1.0
