round,sample_id,gt,llm_label_raw,llm_label,confidence,parse_ok,agreement,error_type,prompt_tokens,completion_tokens,latency_ms,phishing_type,source
1,4924,0,benign,0,0.99,1,1,,4219,369,8529.305679985555,legitimate,llm
1,2843,0,benign,0,0.99,1,1,,4006,323,8184.527981997235,legitimate,llm
1,4011,0,benign,0,0.99,1,1,,4004,285,7823.16178799374,legitimate,llm
1,3044,0,benign,0,0.99,1,1,,3401,310,6691.814730002079,legitimate,llm
1,3082,0,benign,0,0.99,1,1,,4309,397,6356.94422700908,legitimate,llm
1,4389,0,benign,0,0.98,1,1,,4474,306,5165.681140002562,legitimate,llm
1,3126,0,benign,0,0.99,1,1,,4475,388,4478.24343299726,legitimate,llm
1,4712,0,benign,0,0.99,1,1,,3316,300,3332.739602017682,legitimate,llm
1,4107,0,benign,0,0.99,1,1,,3315,512,20471.324543002993,legitimate,llm
1,2957,0,benign,0,0.99,1,1,,4127,414,18643.515592993936,legitimate,llm
1,2733,0,benign,0,0.99,1,1,,3225,379,5895.64696099842,legitimate,llm
1,4592,0,benign,0,0.99,1,1,,4121,373,3992.4550490104593,legitimate,llm
1,3815,0,benign,0,0.99,1,1,,4168,479,5893.637803994352,legitimate,llm
1,2974,0,benign,0,0.99,1,1,,4175,310,6067.5621629925445,legitimate,llm
1,3372,0,benign,0,0.99,1,1,,3360,323,13184.61876900983,legitimate,llm
1,4904,0,benign,0,0.99,1,1,,3319,358,3029.650529992068,legitimate,llm
1,4547,0,benign,0,0.98,1,1,,3461,357,9332.782896002755,legitimate,llm
1,4873,0,benign,0,0.98,1,1,,4660,446,3424.7194489871617,legitimate,llm
1,2595,0,benign,0,0.99,1,1,,3318,366,8164.762861997588,legitimate,llm
1,3395,0,benign,0,0.99,1,1,,3551,330,5850.663274002727,legitimate,llm
1,3281,0,benign,0,0.99,1,1,,3882,412,6531.59114299342,legitimate,llm
1,4381,0,benign,0,0.99,1,1,,4688,433,6578.9865880215075,legitimate,llm
1,575,1,phish,1,0.92,1,1,,3496,386,3939.3681790097617,scam,llm
1,4160,0,benign,0,0.99,1,1,,2830,335,3021.3716120051686,legitimate,llm
1,2815,0,benign,0,0.99,1,1,,4686,381,5232.879891002085,legitimate,llm
