feature,dp,kp,pp
prob_sn,0.7608,0.9777,0.5129
prob_pg,0.9865,0.9759,0.8634
sn_pg_agreement,0.6581,0.5327,0.6835
sn_pg_diff,0.806,0.7314,0.7865
max_prob,0.8019,0.9894,0.5044
min_prob,0.9784,0.9821,0.8575
domain_length,0.5056,0.8749,0.6983
n_dots_domain,0.5003,0.8141,0.5204
n_subdomains,0.5003,0.8141,0.5204
domain_entropy,0.5027,0.8293,0.7284
has_ip_address,0.5003,0.5037,0.5021
has_https,0.5012,0.7112,0.5706
domain_digit_ratio,0.5008,0.6416,0.6075
html_length,0.689,0.7805,0.8343
n_forms,0.5638,0.5323,0.7182
n_password_inputs,0.8532,0.6643,0.5091
n_external_links_ratio,0.5506,0.5707,0.5418
path_length,,1.0,
url_length,,0.9478,
n_url_params,,0.5348,
is_in_tranco_1m,0.5008,0.9622,0.6544
tranco_rank,0.5001,0.9622,0.6547
tranco_rank_log,0.5001,0.9622,0.6547
wayback_first_seen_days,0.5025,0.9934,0.9289
wayback_last_seen_days,0.5018,0.9931,0.8542
wayback_n_snapshots,0.5042,0.996,0.9144
wayback_active_window_days,0.5004,0.9937,0.8995
wayback_first_status_ok,0.5038,0.9937,0.846
cert_history_count,0.5084,0.571,0.6033
cert_first_seen_days,0.5071,0.5774,0.6455
cert_last_seen_days,0.51,0.5153,0.6061
cert_issuer_diversity,0.5082,0.5732,0.6042
cert_is_free_only,0.5087,0.5025,0.5796
cert_has_wildcard,0.5069,0.5527,0.582
cert_validity_median_days,0.5079,0.5354,0.6187
cert_san_max,0.5072,0.5812,0.5885
rdap_domain_age_days,0.5033,0.8844,0.8593
rdap_age_risk,0.5038,0.8844,0.5009
rdap_has_registrar,0.5035,0.8853,0.6234
dns_resolved,0.5054,0.9874,0.6096
asn_number,0.5054,0.9872,0.6656
asn_age_days,0.5065,0.9619,0.5747
