,LogReg,GB,RF
min_prob,3.4331740554780557,0.7831518025763513,0.27702614317859464
prob_pg,0.10373117243498084,0.0079861793464075,0.18675034330316465
rdap_has_registrar,2.006363085547071,0.057355022453786104,0.10482811407318071
rdap_domain_age_days,0.3754351950895666,2.03664630624937e-05,0.05806815557811457
rdap_age_risk,2.1074128839735735,0.029535202233639438,0.10798139737952253
domain_length,1.511012520839443,0.0056147110596096814,0.03855382112023246
domain_entropy,0.6502508556846551,0.004641476197878899,0.025370292338670157
n_dots_domain,0.06934928711612913,2.4309437278395395e-06,0.02770526033804622
n_subdomains,0.06934928711613009,3.7132170932145604e-05,0.033063977222772
html_length,0.005726020242180273,0.005684472186958621,0.014021748453219216
sn_pg_diff,0.7798353616981405,0.05449646291782122,0.05109921269431016
has_https,2.240576473812381,0.019456207657793177,0.026176919103398984
n_password_inputs,0.2541459282640852,0.0005146038331028513,0.0031095553651698075
domain_digit_ratio,0.1376814072716961,0.00031124745363722377,0.0009517973384856846
cert_san_max,0.4764330248756065,0.0019593289844213424,0.00412712182186567
cert_first_seen_days,0.08848189230094346,0.005115779050929075,0.00835868479208881
cert_issuer_diversity,1.129968861331724,0.001207584179924343,0.005119459601451515
cert_history_count,0.2579446729550257,0.0007163998565327525,0.0037967151845528855
n_external_links_ratio,0.19142601511615687,0.0033494437450565916,0.004471266167624032
cert_has_wildcard,0.5835532295307868,7.077796415941045e-05,0.000958490578627762
cert_validity_median_days,0.4431837866292927,0.0015447432661995202,0.0020007049984898826
sn_pg_agreement,0.17910167728473447,0.01625040960191447,0.013006393231070229
n_forms,0.039887522784657646,0.0003608951659577594,0.0014672058152136371
cert_last_seen_days,0.037533152843384106,0.0005622141917279611,0.0014647937629801006
has_ip_address,0.07128780751392268,5.975006422454359e-09,0.0
cert_is_free_only,0.17622106514867578,5.5100523461869836e-05,0.0005224265591535772
