n_total,n_used,n_uncertain,accuracy,precision_phish,recall_phish,precision_benign,recall_benign,f1_weighted,f1_phish,variant,slice
100,100,0,0.77,0.9354838709677419,0.58,0.6956521739130435,0.96,0.7613860358958398,0.7160493827160493,B_html_probs_osint,overall
50,50,0,0.58,1.0,0.58,0.0,0.0,0.7341772151898734,0.7341772151898734,B_html_probs_osint,phish_subset
50,50,0,0.96,0.0,0.0,1.0,0.96,0.9795918367346939,0.0,B_html_probs_osint,benign_subset
50,50,0,,,0.58,,,,,B_html_probs_osint,FN_recovery
50,50,0,,,,,0.96,,,B_html_probs_osint,FP_recovery
100,100,0,0.69,0.8275862068965517,0.48,0.6338028169014085,0.9,0.6756982948007113,0.6075949367088608,A_html_probs,overall
50,50,0,0.48,1.0,0.48,0.0,0.0,0.6486486486486487,0.6486486486486487,A_html_probs,phish_subset
50,50,0,0.9,0.0,0.0,1.0,0.9,0.9473684210526315,0.0,A_html_probs,benign_subset
50,50,0,,,0.48,,,,,A_html_probs,FN_recovery
50,50,0,,,,,0.9,,,A_html_probs,FP_recovery
100,100,0,0.82,1.0,0.64,0.7352941176470589,1.0,0.8139727159983464,0.7804878048780488,E_poc_2k,overall
50,50,0,0.64,1.0,0.64,0.0,0.0,0.7804878048780488,0.7804878048780488,E_poc_2k,phish_subset
50,50,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,E_poc_2k,benign_subset
50,50,0,,,0.64,,,,,E_poc_2k,FN_recovery
50,50,0,,,,,1.0,,,E_poc_2k,FP_recovery
100,100,0,0.91,1.0,0.82,0.847457627118644,1.0,0.9092650468797259,0.9010989010989011,D_html_osint,overall
50,50,0,0.82,1.0,0.82,0.0,0.0,0.9010989010989011,0.9010989010989011,D_html_osint,phish_subset
50,50,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,D_html_osint,benign_subset
50,50,0,,,0.82,,,,,D_html_osint,FN_recovery
50,50,0,,,,,1.0,,,D_html_osint,FP_recovery
100,100,0,0.9,1.0,0.8,0.8333333333333334,1.0,0.898989898989899,0.8888888888888888,C_html_only,overall
50,50,0,0.8,1.0,0.8,0.0,0.0,0.8888888888888888,0.8888888888888888,C_html_only,phish_subset
50,50,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,C_html_only,benign_subset
50,50,0,,,0.8,,,,,C_html_only,FN_recovery
50,50,0,,,,,1.0,,,C_html_only,FP_recovery
