sample_id,domain,label,is_in_tranco_1m,tranco_rank,tranco_rank_log,wayback_first_seen_days,wayback_last_seen_days,wayback_n_snapshots,wayback_active_window_days,wayback_first_status_ok,cert_history_count,cert_first_seen_days,cert_last_seen_days,cert_issuer_diversity,cert_is_free_only,cert_has_wildcard,cert_validity_median_days,cert_san_max,rdap_domain_age_days,rdap_age_risk,rdap_has_registrar,dns_resolved,asn_number,asn_age_days,asn_country
12,my-pinkelephant.com,1,0,-1,-1.0,5580,69,1000,5510,1,62,2519,210,3,0,0,90,1,5752,1,1,1,13335,5790,US
13,my-pinkelephant.com,0,0,-1,-1.0,5580,69,1000,5510,1,62,2519,210,3,0,0,90,1,5752,1,1,1,13335,5790,US
14,my-pinkelephant.com,0,0,-1,-1.0,5580,69,1000,5510,1,62,2519,210,3,0,0,90,1,5752,1,1,1,13335,5790,US
15,my-pinkelephant.com,0,0,-1,-1.0,5580,69,1000,5510,1,62,2519,210,3,0,0,90,1,5752,1,1,1,13335,5790,US
16,my-pinkelephant.com,0,0,-1,-1.0,5580,69,1000,5510,1,62,2519,210,3,0,0,90,1,5752,1,1,1,13335,5790,US
18,my-pinkelephant.com,0,0,-1,-1.0,5580,69,1000,5510,1,62,2519,210,3,0,0,90,1,5752,1,1,1,13335,5790,US
42,wp2015.mainstreetdental.us,1,0,-1,-1.0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,
43,wp2015.mainstreetdental.us,0,0,-1,-1.0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,
44,wp2015.mainstreetdental.us,0,0,-1,-1.0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,
45,wp2015.mainstreetdental.us,0,0,-1,-1.0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,
46,wp2015.mainstreetdental.us,0,0,-1,-1.0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,
47,wp2015.mainstreetdental.us,0,0,-1,-1.0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,
48,wp2015.mainstreetdental.us,0,0,-1,-1.0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,
63,aaronmaxdesign.com,1,0,-1,-1.0,8295,68,1000,8226,1,-1,-1,-1,-1,-1,-1,-1,-1,8419,1,1,1,58182,3115,
64,aaronmaxdesign.com,0,0,-1,-1.0,8295,68,1000,8226,1,-1,-1,-1,-1,-1,-1,-1,-1,8419,1,1,1,58182,3115,
65,aaronmaxdesign.com,0,0,-1,-1.0,8295,68,1000,8226,1,-1,-1,-1,-1,-1,-1,-1,-1,8419,1,1,1,58182,3115,
66,aaronmaxdesign.com,0,0,-1,-1.0,8295,68,1000,8226,1,-1,-1,-1,-1,-1,-1,-1,-1,8419,1,1,1,58182,3115,
67,aaronmaxdesign.com,0,0,-1,-1.0,8295,68,1000,8226,1,-1,-1,-1,-1,-1,-1,-1,-1,8419,1,1,1,58182,3115,
68,aaronmaxdesign.com,0,0,-1,-1.0,8295,68,1000,8226,1,-1,-1,-1,-1,-1,-1,-1,-1,8419,1,1,1,58182,3115,
69,aaronmaxdesign.com,0,0,-1,-1.0,8295,68,1000,8226,1,-1,-1,-1,-1,-1,-1,-1,-1,8419,1,1,1,58182,3115,
133,www.d-trix.ca,1,0,-1,-1.0,6307,2575,668,3732,1,2,2681,2681,1,0,0,90,1,-1,-1,-1,0,-1,-1,
134,www.d-trix.ca,0,0,-1,-1.0,6307,2575,668,3732,1,2,2681,2681,1,0,0,90,1,-1,-1,-1,0,-1,-1,
135,www.d-trix.ca,0,0,-1,-1.0,6307,2575,668,3732,1,2,2681,2681,1,0,0,90,1,-1,-1,-1,0,-1,-1,
136,www.d-trix.ca,0,0,-1,-1.0,6307,2575,668,3732,1,2,2681,2681,1,0,0,90,1,-1,-1,-1,0,-1,-1,
137,www.d-trix.ca,0,0,-1,-1.0,6307,2575,668,3732,1,2,2681,2681,1,0,0,90,1,-1,-1,-1,0,-1,-1,
138,www.d-trix.ca,0,0,-1,-1.0,6307,2575,668,3732,1,2,2681,2681,1,0,0,90,1,-1,-1,-1,0,-1,-1,
139,www.d-trix.ca,0,0,-1,-1.0,6307,2575,668,3732,1,2,2681,2681,1,0,0,90,1,-1,-1,-1,0,-1,-1,
149,onlineworldtopuniversity.com,1,0,-1,-1.0,3976,3973,25,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,
150,onlineworldtopuniversity.com,0,0,-1,-1.0,3976,3973,25,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,
151,onlineworldtopuniversity.com,0,0,-1,-1.0,3976,3973,25,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,
152,onlineworldtopuniversity.com,0,0,-1,-1.0,3976,3973,25,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,
153,onlineworldtopuniversity.com,0,0,-1,-1.0,3976,3973,25,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,
154,onlineworldtopuniversity.com,0,0,-1,-1.0,3976,3973,25,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,
155,onlineworldtopuniversity.com,0,0,-1,-1.0,3976,3973,25,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,
232,www.diemouldtooling.in,1,0,-1,-1.0,4704,2648,620,2056,1,-1,-1,-1,-1,-1,-1,-1,-1,65,2,1,1,16509,9513,US
233,www.diemouldtooling.in,0,0,-1,-1.0,4704,2648,620,2056,1,-1,-1,-1,-1,-1,-1,-1,-1,65,2,1,1,16509,9513,US
234,www.diemouldtooling.in,0,0,-1,-1.0,4704,2648,620,2056,1,-1,-1,-1,-1,-1,-1,-1,-1,65,2,1,1,16509,9513,US
235,www.diemouldtooling.in,0,0,-1,-1.0,4704,2648,620,2056,1,-1,-1,-1,-1,-1,-1,-1,-1,65,2,1,1,16509,9513,US
