sample_id,sample_name,label,prob_sn,prob_pg,sn_pg_agreement,sn_pg_diff,max_prob,min_prob,domain_length,n_dots_domain,n_subdomains,domain_entropy,has_ip_address,has_https,domain_digit_ratio,html_length,n_forms,n_password_inputs,n_external_links_ratio,is_in_tranco_1m,tranco_rank,tranco_rank_log,wayback_first_seen_days,wayback_last_seen_days,wayback_n_snapshots,wayback_active_window_days,wayback_first_status_ok,cert_history_count,cert_first_seen_days,cert_last_seen_days,cert_issuer_diversity,cert_is_free_only,cert_has_wildcard,cert_validity_median_days,cert_san_max,rdap_domain_age_days,rdap_age_risk,rdap_has_registrar,dns_resolved,asn_number,asn_age_days,asn_country
10241,10241_nacen.in,0,0.301842,0.00582,1,0.2960217315863716,0.3018417480252326,0.005820016438861,8,1,0,2.4056390622295662,0,0,0.0,13554,1,1,0.4333333333333333,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,134.0,1913.0,43.0,12.0,0.0,1.0,89.0,2.0,229.0,2.0,1.0,1.0,13335.0,5790.0,US
10242,10242_nacen.in,0,0.722912,0.016186,0,0.7067254652360582,0.7229115830525724,0.0161861178165142,8,1,0,2.4056390622295662,0,0,0.0,11001,1,1,0.4545454545454545,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,134.0,1913.0,43.0,12.0,0.0,1.0,89.0,2.0,229.0,2.0,1.0,1.0,13335.0,5790.0,US
10243,10243_nacen.in,0,0.301842,0.00582,1,0.2960216719817268,0.3018416884205879,0.005820016438861,8,1,0,2.4056390622295662,0,0,0.0,13554,1,1,0.4333333333333333,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,134.0,1913.0,43.0,12.0,0.0,1.0,89.0,2.0,229.0,2.0,1.0,1.0,13335.0,5790.0,US
10244,10244_nacen.in,0,0.721965,0.012212,0,0.7097526660871171,0.7219648991738694,0.0122122330867523,8,1,0,2.4056390622295662,0,0,0.0,7506,1,1,0.4166666666666667,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,134.0,1913.0,43.0,12.0,0.0,1.0,89.0,2.0,229.0,2.0,1.0,1.0,13335.0,5790.0,US
10245,10245_nacen.in,0,0.724913,0.014405,0,0.7105083715515965,0.7249132180194393,0.0144048464678427,8,1,0,2.4056390622295662,0,0,0.0,8296,1,1,0.4545454545454545,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,134.0,1913.0,43.0,12.0,0.0,1.0,89.0,2.0,229.0,2.0,1.0,1.0,13335.0,5790.0,US
10246,10246_nacen.in,0,0.670049,0.015605,0,0.6544436133989087,0.6700487147966776,0.0156051013977689,8,1,0,2.4056390622295662,0,0,0.0,11514,1,1,0.5,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,134.0,1913.0,43.0,12.0,0.0,1.0,89.0,2.0,229.0,2.0,1.0,1.0,13335.0,5790.0,US
10250,10250_www.nirs.edu.in,0,0.945325,0.004975,0,0.9403497932920772,0.9453252401135396,0.0049754468214625,15,3,2,3.006238928653389,0,0,0.0,40812,1,0,1.4509803921568627,0.0,-1.0,-1.0,3568.0,150.0,1000.0,3417.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,357.0,2.0,1.0,1.0,31898.0,5540.0,US
10251,10251_www.nirs.edu.in,0,0.945325,0.004975,0,0.9403498415060992,0.9453252883275618,0.0049754468214625,15,3,2,3.006238928653389,0,0,0.0,40818,1,0,1.4509803921568627,0.0,-1.0,-1.0,3568.0,150.0,1000.0,3417.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,357.0,2.0,1.0,1.0,31898.0,5540.0,US
10252,10252_www.nirs.edu.in,0,0.941422,0.006413,0,0.9350093690598046,0.9414218704702974,0.0064125014104927,15,3,2,3.006238928653389,0,0,0.0,41723,1,0,1.3846153846153846,0.0,-1.0,-1.0,3568.0,150.0,1000.0,3417.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,357.0,2.0,1.0,1.0,31898.0,5540.0,US
10253,10253_www.nirs.edu.in,0,0.945325,0.004975,0,0.940349862238854,0.9453253090603164,0.0049754468214625,15,3,2,3.006238928653389,0,0,0.0,40812,1,0,1.4509803921568627,0.0,-1.0,-1.0,3568.0,150.0,1000.0,3417.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,357.0,2.0,1.0,1.0,31898.0,5540.0,US
10254,10254_www.nirs.edu.in,0,0.941804,0.005456,0,0.9363480177599685,0.9418038290621636,0.005455811302195,15,3,2,3.006238928653389,0,0,0.0,39060,1,0,1.4038461538461535,0.0,-1.0,-1.0,3568.0,150.0,1000.0,3417.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,357.0,2.0,1.0,1.0,31898.0,5540.0,US
10428,10428_bio-eco-service.kz,0,0.723977,0.020285,0,0.7036919057297992,0.7239772194709198,0.0202853137411205,18,1,0,3.4613201402110083,0,0,0.0,24841,1,1,0.1666666666666666,0.0,-1.0,-1.0,5500.0,65.0,1000.0,5434.0,1.0,97.0,3483.0,30.0,6.0,0.0,1.0,90.0,2.0,-1.0,-1.0,-1.0,1.0,208450.0,2484.0,
10429,10429_bio-eco-service.kz,0,0.738327,0.02766,0,0.7106661846131723,0.7383265320537893,0.027660347440617,18,1,0,3.4613201402110083,0,0,0.0,19567,1,1,0.2777777777777778,0.0,-1.0,-1.0,5500.0,65.0,1000.0,5434.0,1.0,97.0,3483.0,30.0,6.0,0.0,1.0,90.0,2.0,-1.0,-1.0,-1.0,1.0,208450.0,2484.0,
