sample_name,label,prob_sn,prob_pg,sn_pg_agreement,sn_pg_diff,max_prob,min_prob,url_length,domain_length,n_dots_domain,n_subdomains,domain_entropy,has_ip_address,has_https,path_length,n_url_params,domain_digit_ratio,html_length,n_forms,n_password_inputs,n_external_links_ratio,is_in_tranco_1m,tranco_rank,tranco_rank_log,wayback_first_seen_days,wayback_last_seen_days,wayback_n_snapshots,wayback_active_window_days,wayback_first_status_ok,cert_history_count,cert_first_seen_days,cert_last_seen_days,cert_issuer_diversity,cert_is_free_only,cert_has_wildcard,cert_validity_median_days,cert_san_max,rdap_domain_age_days,rdap_age_risk,rdap_has_registrar,dns_resolved,asn_number,asn_age_days,asn_country
+10fastfingers.com+2023_08_14+0,0,0.183949,0.494965,1,0.3110152896611624,0.4949647654748652,0.1839494758137028,25,17,1,0,3.8521687236032816,0,1,0,0,0.1176470588235294,2362116,6,0,0.6730023273855702,1.0,34647.0,4.539665636066127,5591.0,2330.0,1000.0,3261.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6763.0,1.0,1.0,1.0,13335.0,5790.0,US
+10footwave.com+2023_08_14+0,0,0.179293,0.005557,1,0.1737368643241779,0.1792934167894511,0.0055565524652731,22,14,1,0,3.4677201004745006,0,1,0,0,0.1428571428571428,285033,1,0,3.2459016393442623,1.0,129061.0,5.110795025816817,6796.0,277.0,1000.0,6518.0,1.0,355.0,3969.0,41.0,11.0,0.0,1.0,89.0,2.0,6903.0,1.0,1.0,1.0,16509.0,9513.0,US
+11st.co.kr+2023_08_14+0,0,0.194588,0.002296,1,0.1922915859179183,0.1945879470764941,0.0022963611585758,18,10,2,1,2.9219280948873623,0,1,0,0,0.2,188377,1,0,1.1967213114754098,1.0,7191.0,3.856789288753317,6652.0,2507.0,1000.0,4144.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,9644.0,-1.0,KR
+11xplay.com+2023_08_14+0,0,0.200375,0.979982,0,0.7796069018163081,0.9799816632238216,0.2003747614075136,19,11,1,0,3.2776134368191165,0,1,0,0,0.1818181818181818,54843,1,1,3.76,1.0,387649.0,5.588438667977803,1148.0,82.0,524.0,1066.0,0.0,137.0,1222.0,55.0,15.0,0.0,1.0,89.0,5.0,1236.0,1.0,1.0,1.0,16509.0,9513.0,US
+123telugu.com+2023_08_14+0,0,0.188422,0.002889,1,0.1855331982273355,0.1884223830288436,0.002889184801508,21,13,1,0,3.546593564294939,0,1,0,0,0.2307692307692307,176246,0,0,1.423913043478261,1.0,67926.0,4.832036040778336,7148.0,3059.0,1000.0,4088.0,1.0,469.0,5182.0,45.0,26.0,0.0,1.0,190.0,3.0,7651.0,1.0,1.0,1.0,14618.0,7503.0,US
+126.com+2023_08_14+0,0,0.291071,0.856275,0,0.5652040949205738,0.8562753528257718,0.291071257905198,15,7,1,0,2.807354922057604,0,1,0,0,0.4285714285714285,49240,2,0,4.727272727272728,1.0,17377.0,4.239974801116937,10031.0,7986.0,1000.0,2044.0,1.0,605.0,7149.0,72.0,26.0,0.0,1.0,366.0,3.0,10309.0,1.0,1.0,1.0,139203.0,-1.0,CN
+16honeys.com+2023_08_14+0,0,0.196832,0.000488,1,0.1963435223813958,0.1968319735086243,0.0004884511272285,20,12,1,0,3.418295834054489,0,1,0,0,0.1666666666666666,115365,1,0,0.8875,1.0,72843.0,4.862387823677194,5353.0,60.0,1000.0,5293.0,1.0,265.0,3283.0,79.0,21.0,0.0,1.0,90.0,2.0,5661.0,1.0,1.0,1.0,13335.0,5790.0,US
+178.248.234.15+2023_08_14+0,0,0.191873,0.429789,1,0.2379160098942315,0.4297890067891073,0.1918729968948758,15,7,1,0,2.235926350629033,0,1,0,0,0.0,134071,0,0,3.4,0.0,-1.0,-1.0,1268.0,943.0,216.0,325.0,1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,51115.0,5830.0,
+18read.net+2023_08_14+0,0,0.182345,0.004451,1,0.1778942008579291,0.182345455189935,0.0044512543320059,18,10,1,0,3.121928094887362,0,1,0,0,0.2,48979,0,3,0.4509803921568627,1.0,195245.0,5.290579920909319,2027.0,95.0,1000.0,1931.0,1.0,99.0,1859.0,28.0,11.0,0.0,1.0,90.0,2.0,2231.0,1.0,1.0,1.0,13335.0,5790.0,US
+18xxx.org+2023_08_14+0,0,0.178307,0.006995,1,0.1713128232142833,0.1783074768270828,0.0069946536127995,17,9,1,0,2.6416041678685933,0,1,0,0,0.2222222222222222,178424,1,0,1.5751633986928104,0.0,-1.0,-1.0,6073.0,310.0,1000.0,5763.0,1.0,347.0,3362.0,27.0,11.0,0.0,1.0,89.0,7.0,2516.0,1.0,1.0,1.0,63949.0,-1.0,SG
+1c.eu+2023_08_14+0,0,0.362339,0.047476,1,0.3148624267441209,0.3623388749024507,0.0474764481583298,13,5,1,0,2.321928094887362,0,1,0,0,0.2,4344,0,0,0.875,1.0,24449.0,4.388261100540889,7114.0,74.0,1000.0,7039.0,0.0,65.0,3951.0,20.0,9.0,0.0,1.0,190.0,3.0,-1.0,-1.0,-1.0,1.0,29066.0,8398.0,
+1filmy4wep.lol+2023_08_14+0,0,0.182,0.724308,0,0.5423076866674846,0.7243075540977432,0.1819998674302585,23,15,1,0,3.773557262275185,0,1,0,0,0.1333333333333333,41987,1,0,1.4513274336283186,0.0,-1.0,-1.0,991.0,307.0,18.0,684.0,0.0,219.0,1014.0,207.0,8.0,1.0,1.0,89.0,2.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,
+1password.com+2023_08_14+0,0,0.179191,0.001987,1,0.177204180577274,0.1791909534254396,0.0019867728481656,20,12,1,0,3.418295834054489,0,1,0,0,0.0833333333333333,314760,0,0,2.3893805309734515,1.0,2701.0,3.431524584187451,9004.0,2903.0,1000.0,6101.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8208.0,1.0,1.0,1.0,13335.0,5790.0,US
+1password.com+2023_08_14+1,0,0.19639,0.000516,1,0.195874427187747,0.1963900563288323,0.0005156291410853,21,13,1,0,3.3927474104487847,0,1,0,0,0.0769230769230769,206901,0,0,1.3553719008264462,1.0,2701.0,3.431524584187451,9004.0,2903.0,1000.0,6101.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8208.0,1.0,1.0,1.0,13335.0,5790.0,US
+20bet.com+2023_08_14+0,0,0.567063,0.434004,0,0.1330587431776692,0.5670625715249071,0.4340038283472379,17,9,1,0,3.169925001442312,0,1,0,0,0.2222222222222222,6312,0,0,4.0,1.0,53135.0,4.725380684914793,6575.0,627.0,1000.0,5948.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5043.0,1.0,1.0,1.0,13335.0,5790.0,US
+212xnxx.com+2023_08_14+0,0,0.179347,0.002115,1,0.1772320079716477,0.1793471313239565,0.0021151233523087,19,11,1,0,2.845350936622437,0,1,0,0,0.2727272727272727,210065,1,0,0.3204747774480712,0.0,-1.0,-1.0,1329.0,397.0,1000.0,931.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1521.0,1.0,1.0,1.0,63949.0,-1.0,SG
+24.hu+2023_08_14+1,0,0.178868,0.001522,1,0.1773458458862146,0.1788676362033978,0.0015217903171832,13,5,1,0,2.321928094887362,0,1,0,0,0.4,411017,1,0,2.7884615384615383,1.0,6887.0,3.83803008298532,5180.0,3047.0,1000.0,2132.0,1.0,260.0,3660.0,43.0,15.0,0.0,1.0,394.0,3.0,-1.0,-1.0,-1.0,1.0,16509.0,9513.0,US
+24smi.info+2023_08_14+0,0,0.215605,0.014808,1,0.2007969357674263,0.2156048802616488,0.0148079444942224,18,10,1,0,3.121928094887362,0,1,0,0,0.2,156480,0,0,3.0,1.0,76821.0,4.885479956196187,4387.0,2019.0,1000.0,2367.0,0.0,194.0,3605.0,24.0,17.0,0.0,1.0,89.0,2.0,4011.0,1.0,1.0,1.0,13335.0,5790.0,US
+24timezones.com+2023_08_14+0,0,0.191187,0.013582,1,0.1776050932206997,0.1911866174926674,0.0135815242719676,23,15,1,0,3.5068905956085183,0,1,0,0,0.1333333333333333,1294823,0,0,0.8365384615384616,1.0,27148.0,4.433737840519429,8119.0,2931.0,1000.0,5187.0,1.0,852.0,3300.0,26.0,22.0,0.0,1.0,89.0,6.0,7629.0,1.0,1.0,1.0,13335.0,5790.0,US
+24tv.ua+2023_08_14+0,0,0.24191,0.000582,1,0.2413277714865778,0.2419098097148597,0.0005820382282818,15,7,1,0,2.807354922057604,0,1,0,0,0.2857142857142857,587521,1,0,3.0594059405940595,1.0,15362.0,4.186447760774917,5649.0,4196.0,1000.0,1453.0,1.0,1050.0,5526.0,22.0,32.0,0.0,1.0,89.0,3.0,5649.0,1.0,1.0,1.0,13335.0,5790.0,US
